post_content,trend,Likes,Shares,Comments
saudi crown prince messaged aide khashoggi killing report,Moderately Trending,981,112,247
donald trumps washington hotel saw crore revenue,Highly Trending,968,115,68
increase new taxpayers note ban,Low Trending,919,159,487
india entered final icc events months,Low Trending,554,200,484
nonbailable warrant issued patidar leader hardik patel,Highly Trending,947,187,324
credit tripura results pm modi bjp gen secy,Low Trending,542,195,342
dont want die office id die beach jack ma,Low Trending,689,188,348
bsf kills pak rangers ceasefire violation jk,Moderately Trending,965,139,305
st flights day depart time orders air india,Highly Trending,831,140,34
proud feminist facebook coo sheryl sandberg,Low Trending,818,198,292
dept launches instant epan based aadhaar,Moderately Trending,854,100,444
sc begins hearings case love jihad,Low Trending,535,188,291
canadian sniper breaks longest kill record km shot,Low Trending,858,191,357
paying bank dues despite high fuel prices jet airways,Low Trending,964,167,395
petrol diesel prices hiked time month,Moderately Trending,881,153,162
people arrested minors detained cbse papers leak,Moderately Trending,729,140,306
mumbai civic body collects tonnes plastic ban,Moderately Trending,868,115,463
half cheques dds sent kerala relief fund dishonoured cm,Highly Trending,966,192,15
new uber emerge crisis board member arianna,Low Trending,701,170,376
man sets world record using footlong pool cue,Moderately Trending,947,167,240
sad todays players experiencing indpak rivalry akhtar,Highly Trending,974,197,182
films stay forever shraddha yrs aashiqui,Moderately Trending,706,121,367
bravery award winner designated special police officer,Low Trending,640,195,218
ms dhoni booed fans lords slow batting nd odi,Moderately Trending,989,95,305
stokes called real hero gay couple defended pub,Moderately Trending,890,138,474
years sl dismissed zimbabwe odis lowest score,Highly Trending,638,190,175
tinder cofounders sue parent match billion,Low Trending,691,195,479
indian squash player registers st straight intl win,Highly Trending,806,197,88
indias st govtsponsored transgender poet meet organised,Highly Trending,834,180,171
worlds nd costliest player debuts barcelona win,Moderately Trending,908,102,140
millionth test run came india years tests,Moderately Trending,812,127,213
trains delayed station master gets drunk falls asleep,Low Trending,666,152,383
audiences throw star kids like bad apples says ekta,Highly Trending,844,161,480
microsoft developing ai draw textbased images,Moderately Trending,785,133,229
indias richest tech entrepreneurs,Moderately Trending,952,111,447
ban use pellet guns kashmir amnesty international,Highly Trending,657,140,189
zayn malik girlfriend gigi celebrate eid moms,Highly Trending,959,154,168
missing army jawans body riddled bullets jk,Low Trending,583,180,456
years kareena plans having second child,Low Trending,618,196,434
conducted army punjab cm dope test employees,Moderately Trending,831,130,218
indian millionaires accused multicrore frauds,Low Trending,917,183,444
balls damage unbreakable pujara kohli white walker,Moderately Trending,852,157,154
indians working qatar wc stranded pay,Low Trending,951,188,354
mahadalit women stopped entering temple bihar,Low Trending,547,176,204
slack raises mn valuation bn,Highly Trending,727,101,132
issue fatwa raise pak flag ind rss leader,Highly Trending,885,199,416
punjab govt approves luxury vehicles cm ministers,Moderately Trending,908,174,450
sri lanka cricket rated corrupt icc sl sports minister,Highly Trending,923,141,196
maxwells broken bat exhibited junior club,Moderately Trending,697,162,350
pilots using planes draw designs sky,Low Trending,771,150,456
indians kidnapped isis iraq died swaraj,Highly Trending,758,147,98
selena gomez features cover vogue america st time,Highly Trending,574,164,160
keralas th international airport open september,Low Trending,499,184,262
govt link bn aadhaars bn accounts bn mobiles,Moderately Trending,849,118,363
woman drinks wine pringles box drives cart banned walmart,Moderately Trending,949,94,458
minister gets root canal l singapore takes reimbursement,Highly Trending,782,146,23
protests bluru school window pane falls kids,Moderately Trending,958,149,177
hundreds flyers miss flights security scanner fault,Highly Trending,837,145,78
oneplus brings best smartphone camera shootout,Highly Trending,822,152,275
german cop st female referee europes leagues,Moderately Trending,972,143,426
calling hardik alpesh jignesh haj divisive congress,Highly Trending,888,141,207
films dil adil hussain,Low Trending,659,166,353
usain bolt fails finish race career,Moderately Trending,955,164,380
supreme court adjudicate leander rhea pillai dispute,Low Trending,714,143,247
salman khan shares childhood pic brother sohail,Low Trending,624,199,470
hijacked indian ship rescued pirates flee hostages,Low Trending,717,197,321
tesco apologises beer makes good friday better ad,Low Trending,612,192,260
stores continue mcdonalds brand vikram bakshi,Moderately Trending,942,169,309
woman shot exmla nye party delhi dies,Highly Trending,874,166,102
remove hindi bengaluru metro signs karnataka cm,Low Trending,989,175,350
digvijaya opposed attack naxalites bjp,Low Trending,716,144,224
bcci opposes sreesanths request play county cricket,Low Trending,749,188,479
talked dna joined nda akhilesh yadav,Highly Trending,858,157,82
exnagaland cm declared elected unopposed polls,Moderately Trending,885,148,449
firstever jail till death sentence issued nepal,Highly Trending,815,160,96
trump aide apologises trudeau place hell remark,Moderately Trending,939,143,487
bjp govt tapping phones people ktaka state minister,Highly Trending,982,177,230
kannada film director madan arrested allegedly kidnapping paramesh owner advertising agency paramesh paid lakh promoting madans film eradu kanasu madan asked paramesh return lakh unhappy agencys work kidnapping paramesh madan demanded ransom family,Moderately Trending,934,117,426
woman delivers baby boy ambulance surrounded lions,Low Trending,760,170,479
black radio host accused white privilege debate,Low Trending,931,187,478
used play sushant theatre days,Low Trending,940,185,327
wh warned ask trump question cnn reporter,Moderately Trending,858,172,281
stop train mishap outofturn promotion piyush goyal,Moderately Trending,542,136,275
main villain telangana congress party cm rao,Low Trending,718,174,375
afghan man leaves delhi airport indian visa,Low Trending,806,165,409
swiggy begin delivering medicines grocery report,Highly Trending,744,154,370
apple fixes bug caused iphones crash text,Low Trending,642,193,382
enforcement directorate attached assets worth cr yrs,Low Trending,557,185,272
yeh modi lehar nahi evm lehar hai aap mcd polls results,Moderately Trending,960,154,472
recite hanuman chalisa rid monkeys cm adityanath,Highly Trending,843,170,20
messi lasted secs field international debut,Moderately Trending,696,124,314
plane flies shape giant heart valentines day,Moderately Trending,865,153,329
ryanair cancelling flights day staff leave,Highly Trending,642,137,301
activists scale german embassy protest coal,Highly Trending,990,174,251
years vasco da gama arrived india,Highly Trending,801,199,46
tgana hospital turns away pregnant women saying doctors,Moderately Trending,965,127,245
uber suspends selfdriving car tests crash,Low Trending,656,173,335
revoke ban gaikwad wont let airlines fly sena,Low Trending,706,141,427
twitter compares yogi adityanath actor vin diesel,Low Trending,737,141,396
jnpt indias port ranked worlds,Low Trending,801,193,450
shiv sena mps mlas month salary kerala floods,Highly Trending,812,168,236
steyn india tests playing st game months,Moderately Trending,805,125,375
accelbacked food startup fingerlix raises crore,Moderately Trending,662,121,446
rahul tweets leaked video kohli getting beard insured,Low Trending,565,185,457
walked away projects pay disparity aishwarya,Moderately Trending,830,127,430
oneplus smartphone emerged bestseller india amazon prime day sale amazon prime members offered oneplus smartphone additional cashback smartphone powered powerful processor qualcomm snapdragon comes upto gb ram proprietary dash charge technology oneplus,Moderately Trending,940,169,417
indigo launches gym police personnel nagaland,Moderately Trending,944,139,431
father meets daughter knew,Highly Trending,901,169,233
air india flights delayed software malfunction,Highly Trending,880,186,7
dad missed priyanka birth anniversary,Highly Trending,842,173,117
jacqueline starts shooting race allah duhai report,Low Trending,689,136,473
delhi cabinet approves phaseiv delhi metro,Low Trending,854,187,361
shankar mahadevan performs prisoners pune jail,Moderately Trending,913,152,340
pubs bars near highways escape alcohol ban gurugram,Moderately Trending,912,104,387
laughable says mp cm rahuls bhopal remark,Low Trending,761,166,397
abducted raped yearold wants return husband,Low Trending,755,186,344
sachin shares handwritten letter young fan,Low Trending,571,192,350
killed injured landslide jk highway,Low Trending,488,183,401
pm speaks like actor speeches stomachs sonia,Highly Trending,975,193,355
expak pms interview shows govt isis puppet lawyer,Moderately Trending,759,144,299
disabled persons substantive equality hc,Moderately Trending,620,109,329
taking jibe ncp sp supremos sharad pawar mulayam singh yadav maharashtra cm devendra fadnavis said dream prime minister post let remain chief minister said asked students iitbombay wanted pm,Moderately Trending,863,129,299
barca liverpool express solidarity kerala flood victims,Moderately Trending,930,167,398
cbse defends keeping history math board exams,Low Trending,718,198,449
gurugram rape victim shot dead withdrawing case,Highly Trending,755,199,199
trailer rishi pareshs patel ki punjabi shaadi,Low Trending,881,191,440
arsenal win wengers th pl match man utd beat spurs,Highly Trending,759,134,41
shraddha criticised cultural appropriation ratnanis shoot,Moderately Trending,955,101,478
mastermind iran twin terrorist attacks killed,Low Trending,849,161,366
govinda thanks rishi showing concern jagga jasoos row,Low Trending,774,176,485
tests unarmed intercontinental ballistic missile,Moderately Trending,656,160,304
messi ronaldo score man bara real play draw,Moderately Trending,698,117,479
telecom sector cut jobs year says rcom,Low Trending,979,194,386
pan cards linked aadhaar july wont invalid,Low Trending,668,173,418
chipbased atm card hacked rare case woman loses,Highly Trending,701,135,138
scooters girls lakh jobs year bjps mp manifesto,Moderately Trending,941,113,220
average cricket fan years old icc,Highly Trending,692,156,176
need rafale boost iafs depleting strength iaf chief,Moderately Trending,743,115,311
important listen people dont flatter kapil,Moderately Trending,885,185,399
bombay hc directs court proceed trial sooraj,Low Trending,649,174,462
woman publicly raped beheaded serving fish congo,Moderately Trending,698,138,343
taimur threat akshay jokes kareena kapoor,Low Trending,810,189,232
jailed exbdesh pm zia critical able walk,Highly Trending,576,194,60
japan firm wins cr appeal exranbaxy promoters,Highly Trending,750,175,368
maharashtra govt distribute cr drought relief,Moderately Trending,754,108,397
haryana folk singers body slit throat rohtak,Highly Trending,902,142,39
pietersen names sachin sehwag openers test xi,Highly Trending,878,200,118
woman syndrome competes beauty pageant,Low Trending,634,185,339
ambani family earned cr dividend income yrs,Highly Trending,875,149,261
amrapali sold flats sq ft took rest black money auditors,Moderately Trending,866,181,195
jacqueline daisys fight scene race sensuous salman,Moderately Trending,696,103,186
nepal fm radio airs samajwadi partys poll campaign,Low Trending,832,182,331
tripura partner bcci building capacity stadium,Highly Trending,719,175,180
trailer arjun parineetis namaste england released,Highly Trending,691,199,285
want children reality shows sunidhi,Moderately Trending,841,124,481
man throws wife terrace giving triple talaq,Highly Trending,672,196,66
australia votes favour legalising samesex marriage,Highly Trending,755,155,179
police warns netflix users email phishing scam,Moderately Trending,758,137,320
indian monsoon normal year skymet,Low Trending,777,174,290
dept share firms tax info corporate ministry,Moderately Trending,854,125,312
muslim clerics advise greet hug eid uladha,Low Trending,656,189,345
