post_content,trend,Likes,Shares,Comments
twitter compares yogi adityanath actor vin diesel,Moderately Trending,737,141,396
jnpt indias port ranked worlds,Moderately Trending,801,193,450
steyn india tests playing st game months,Moderately Trending,805,125,375
apples jony ive retakes design team management yrs,Low Trending,608,41,369
stop politicians commenting crime govt sc,Low Trending,689,41,376
greatest favour rahul gandhi retire guha,Highly Trending,790,56,371
walked away projects pay disparity aishwarya,Moderately Trending,830,127,430
oneplus smartphone emerged bestseller india amazon prime day sale amazon prime members offered oneplus smartphone additional cashback smartphone powered powerful processor qualcomm snapdragon comes upto gb ram proprietary dash charge technology oneplus,Moderately Trending,940,169,417
exjk cm asks pm modi open route sharda peeth pok,Low Trending,681,60,326
women end wearing dress wedding,Low Trending,626,16,286
jacqueline starts shooting race allah duhai report,Moderately Trending,689,136,473
nirav modi sold diamonds worth lakh crore,Low Trending,776,111,226
jadeja replaced anderson worlds test bowler,Low Trending,814,14,392
pubs bars near highways escape alcohol ban gurugram,Moderately Trending,912,104,387
laughable says mp cm rahuls bhopal remark,Moderately Trending,761,166,397
hotels details oil fat used food,Low Trending,715,15,291
wont rajasthan cm candidate polls congress,Moderately Trending,605,142,434
pathan indian cricketer failed dope test wada,Low Trending,789,28,335
bjp rss people attacked convoy gujarat rahul gandhi,Low Trending,589,71,376
aprilfeb fiscal deficit hits fullyear target,Low Trending,801,50,397
expak pms interview shows govt isis puppet lawyer,Moderately Trending,759,144,299
workload started disagree virat kohli,Highly Trending,860,17,460
rupee rises twoweek high dollar,Low Trending,930,36,377
hdfc bank profit crore september quarter,Low Trending,924,70,244
trailer rishi pareshs patel ki punjabi shaadi,Moderately Trending,881,191,440
lalu prasad yadav sentenced years fodder scam case,Low Trending,570,14,387
bumrah takes wkts post kohlis sa end day,Low Trending,736,22,433
shraddha criticised cultural appropriation ratnanis shoot,Moderately Trending,955,101,478
mastermind iran twin terrorist attacks killed,Moderately Trending,849,161,366
govinda thanks rishi showing concern jagga jasoos row,Moderately Trending,774,176,485
jdu leader alleges threat life amit shah,Low Trending,928,58,232
messi ronaldo score man bara real play draw,Moderately Trending,698,117,479
modi government lost senses years congress,Low Trending,729,14,313
shreyas talpade wife parents surrogacy,Low Trending,794,40,291
sajid said sex dog gave cr aahana,Low Trending,712,4,264
want like aamir khan saif ali khan,Highly Trending,842,22,401
smriti irani compares jon snow mihir virani,Low Trending,782,50,458
need rafale boost iafs depleting strength iaf chief,Moderately Trending,743,115,311
augmented reality glasses help doctors surgery,Moderately Trending,683,189,340
spare drivers drive drunk customers home kolkata bars,Low Trending,649,96,338
satellite images arctic lakes bubbling methane,Moderately Trending,805,115,345
samsung beats intel worlds largest chipmaker,Low Trending,841,15,216
india fared pakistan odi cricket,Low Trending,830,70,359
sad culture great country ripped trump,Low Trending,804,19,239
firing didnt secs amarnath attack survivor,Low Trending,726,37,484
boy kills self friends bully acting feminine,Low Trending,742,37,393
maharashtra govt distribute cr drought relief,Moderately Trending,754,108,397
hang accused mla says unnao rape case survivor,Low Trending,786,90,295
woman blacked babys death gets yrs jail,Moderately Trending,891,71,421
given prime minister speaks amit shah,Low Trending,877,6,214
missing people reunited families ukhand,Moderately Trending,842,90,375
couple kills man chops penis bengaluru,Highly Trending,962,49,437
free land gurukuls providing free education haryana cm,Low Trending,798,10,337
yrold boy marries yrold fulfil ill mothers wish,Low Trending,603,4,305
use fords plants build cars volkswagen ceo,Low Trending,848,45,382
reckitt benckiser executives quit post weak performance,Low Trending,793,4,472
dera used printing press building mass castration cbi,Highly Trending,999,68,463
womens championship winning team declines trumps invite,Highly Trending,900,86,484
nepal fm radio airs samajwadi partys poll campaign,Moderately Trending,832,182,331
want children reality shows sunidhi,Moderately Trending,841,124,481
blue origins space launch tourists crew bezos,Low Trending,901,66,429
police warns netflix users email phishing scam,Moderately Trending,758,137,320
spain threatens veto brexit deal gibraltar issue,Low Trending,976,25,404
dept share firms tax info corporate ministry,Highly Trending,854,125,312
eng spinner trolls gilchrist calls ears satellite dishes,Highly Trending,943,37,291
