Platform,Post Timestamp,Likes,Shares,Comments,Engagement Rate,post_content,description
LinkedIn,47:36.5,39,112,450,29.2,man accidentally stops cyber attack hit countries,cybersecurity researcher unintentionally way temporarily stop massive ransomware attack targeted countries including india friday researcher chanced domain code wannacry ransomware registering domain triggered switch hardcoded malware stop spreading case emergencies
LinkedIn,41:53.1,242,49,127,13.22,hold future polls ballot papers akhilesh ec,uttar pradesh chief minister akhilesh yadav tuesday said lost assembly elections fault evms ec hold forthcoming polls ballot papers said current uttar pradesh government led chief minister yogi adityanath taking forward schemes previous samajwadi party regime
LinkedIn,19:36.4,190,161,73,24.28,amazon unveils selfdriving toy car developers,amazons cloud unit unveiled selfdriving toy car aws deepracer let web developers test selfdriving technology users train alter machine learning models online simulator test drive car oneeighteenth size real race car includes mp camera battery power hours
Instagram,29:52.7,467,15,469,25.18,requests india extradition fugitive criminals including vijay mallya facing charges loan default worth crore pending uk government said minister state external affairs vk singh said years fugitive criminal samirbhai vinubhai patel extradited uk,govt new delhi mar requests india extradition fugitive criminals including vijay mallya facing charges loan default tune nearly rs crore pending uk government said today written replyin rajya sabha minister state external affairs v k singh said year fugitive criminal samirbhai vinubhai patel extradition uk
LinkedIn,48:45.2,609,110,477,71.02,members laughing trump,calling reports world leaders laughed speech united nations general assembly fake news president donald trump said werent laughing laughing fun trump added leaders respect crowd having good time
Facebook,54:29.9,554,139,447,25.11,gurdwara body likens changes history book op blue star,reports alleged punjab government removed chapters sikh gurus class history book shiromani gurdwara parbandhak committee sgpc said attack sikh institutions operation blue star military operation carried drive militants golden temple forces antisikh exposed committee added
Twitter,43:48.1,434,55,292,15.89,india france pledge build worlds largest nuclear plant,pm narendra modi french president emmanuel macron monday pledged begin work largest nuclear power plant world india year urging electricite france sa indias nuclear power corporation accelerate discussions contract start work maharashtras jaitapur leaders said plant gigawatt capacity
Facebook,13:10.9,406,63,7,9.96,flights mumbai delayed strike ai staff,flights delayed thursday mumbai airport strike contractual ground staff air india demanding reinstatement workers sacked stranded passengers took twitter complain delay ai officials said called additional support staff home avoid delay
Twitter,54:45.9,552,102,191,40.09,air hostess names ai pilot sexually harassed yrs,letter union ministers suresh prabhu maneka gandhi air hostess claimed air india executive sexually harassed years named captain darryl pais saying action taken air hostess added approached internal complaints committee chairperson told flirts
Facebook,31:03.6,902,194,79,30.04,ive told clearly yuvraj replaced ashwin snaps,reacting question yuvraj singhs exclusion kings xi punjab playing xi kxip captain ravichandran ashwin said update told clearly replaced manoj tiwary yuvraj said looking play till world cup scored runs matches ipl far
Instagram,47:29.4,653,76,176,29.02,delhi metro shut jun staff threaten strike,delhi metro shut june delhi metro rail corporations nonexecutive staff including train operators technicians maintenance staff threatened strike key demands include pay hikes union formation promotions guidelines sacking employee nearly nonexecutive staff members protesting june nn
Facebook,45:36.6,781,13,341,46.14,tv actors quit forced work hrs daily,lead actors aisi deewangidekhi nahi kahi jyoti sharma pranav misshra quit alleging inhuman treatment producers saying forced work hours daily food water pair claimed diagnosed depression stress anxiety traumatised treated worse animals year
Twitter,23:45.0,784,116,489,101.46,temple parliament india prez mukherjee,address nation outgoing president pranab mukherjee monday said parliament temple service people india passion successful discharging responsibilities judged time critical lens history added
Twitter,20:04.8,723,85,42,57.2,crashed indonesia jet damaged speed gauge flights,indonesias lion air aircraft crashed sea people board damaged airspeed indicator flights indonesias national transportation safety committee said damage revealed data downloaded planes flight data recorder experts earlier said aircraft nosedived sea kmph
LinkedIn,30:09.4,814,158,72,29.94,nation new expert shariat owaisi naidus remark,aimim president asaduddin owaisi sunday tweeted nation new expert shariat mvenkaiahnaidu kindly explain shariat islam gave women equality rights years ago remark came naidu said triple talaq religious issue sanction shariat matter right equality naidu added
Facebook,21:26.4,304,133,147,21.41,ruskin bonds ghost stories turned web series,web series based ghost stories written author ruskin bond release january im happy stories coming alive time digital platform bond said speaking series titled parchayee ghost stories ruskin bond based stories written author
LinkedIn,12:31.2,713,179,324,214.84,brazil liberated socialism says new president inauguration,brazils newly inaugurated president jair bolsonaro said address nation country liberated socialism inverted values political correctness assumed office tuesday flag red said referring leftwing ideologies adding itll red blood needed green yellow
LinkedIn,51:33.3,439,82,326,76.72,saw fans wondered getting work bobby,bobby deol said saw fans wondered getting work realised wasnt taking care waiting work come didnt work added said things different newcomer nown
Twitter,02:07.4,529,62,462,37.25,smart radar startup metawave raises million,usbased smart radar startup metawave raised million funding round saw participation investors including hyundai toyota ai ventures khosla ventures round metawaves total funding raised date hit million founded metawave building wireless systems focussing providing smart radar platforms autonomous driving
Instagram,08:02.8,187,189,451,39.27,women years hajj male companion,central hajj committee thursday decided women age years travel saudi arabia islamic hajj pilgrimage male companion mahram decision taken meeting attended government officials womens rights campaigners said good decision muslim women world travelling independently
LinkedIn,32:06.5,874,68,57,22.19,voting begins st phase chhattisgarh assembly polls,voting phase chhattisgarh assembly elections began monday morning naxalaffected areas polling booths set voting constituencies remaining vote november lakh security personnel deployed ensure polling conducted peacefully
Instagram,38:25.0,286,1,128,24.25,finally taken stand exbihar cm nitish kumar,bihar chief minister jitan ram manjhi said jdu leader nitish kumar finally taken stand support bjp comes nitish kumar resigned bihar chief minister citing crisis ruling congressrjdjdu alliance pm narendra modi congratulated kumar joining fight corruption
Facebook,02:59.1,435,99,352,22.99,cr guj cms face hardik sex cd,reacting sex video allegedly featuring patidar leader hardik patel said cd completely false crore vijaybhais gujarat chief minister face video slamming raising questions personal life said anyones concern video
Instagram,10:32.4,9,112,7,3.05,longest place world letters,place hawkes bay new zealand considered longest place world letters taumatawhakatangihangakoauauotamateaturipukakapikimaungahoronukupokaiwhenuakitanatahu roughly translates place tamatea man big knees slid climbed swallowed mountains known landeater played flute loved
Instagram,38:44.9,511,94,67,35.41,meghan markle allowed uk royalt,marrying uks prince harry actress meghan markle follow royal protocols like clicking selfies fans reports allowed sign autographs wear dark coloured nail paints indulge public display affection markle carry royal duties duchess sussex
Instagram,06:38.9,776,26,342,24.68,real madrid lose ronaldo returns suspension,defending la liga champions real madrid suffered loss real betis wednesday despite forward cristiano ronaldos return fivematch ban result time months los blancos failed score match loss pushed real madrid eighth spot points table
Twitter,04:06.1,927,77,278,116.02,israeli student killed australia video sister,israeli student killed unknown assailant australia video sister aiia maasarwe australia months study abroad program la trobe university detective said police believed random attack hadnt ruled possibility maasarwe sexually assaulted
Instagram,47:38.6,687,66,444,54.29,poonawalla thanks pm modi praise says cong insulted,thanking prime minister narendra modi praise congress leader shehzad poonawalla sunday said contacted party vice president rahul gandhis office day insulted poonawalla said congress place shehzad shehzada rahul gandhi alleging party presidents election rigged favour rahul gandhi
Twitter,18:52.1,324,181,180,14.2,theft reliance jios customer data police,initial probe leak theft reliance jios customer data navi mumbai deputy commissioner tushar doshi said said detained man obtained information using jio retailers username password doshi said website magicapk required type mobile number subscriber details limiting leaked data
LinkedIn,46:12.1,705,86,115,55.41,ready dope test punjab cm aap mlas dare,punjab aap mla aman arora challenged dope test set example mps mlas cm captain amarinder singh tweeted ready undergo test added leave conscience elected representatives wanted
LinkedIn,14:55.4,821,48,52,65.74,rahul pant st duo catches test,indian cricketers kl rahul rishabh pant created history pair teammates seven catches test match rahul set record secondmost number catches taken fielder single test match earlier pant asian wicketkeeper catches innings test debut
Instagram,26:34.5,179,79,234,16.67,tattoo foreheads erase jones balltampering row,talking cape town test balltampering scandal australia batsman dean jones said feels like huge tattoo foreheads erase boys david warner cameron bancroft steve smith old make right decisions sadly pay consequences added
Twitter,56:16.2,846,57,475,27.57,microsofts social chatbot interrupt conversations,microsoft upgraded aipowered social chatbot china feature interrupt users conservations natural experience predict person interacting say feature helps chatbot make decisions respond skill set natural people common chatbots microsoft said
Facebook,54:11.5,436,6,138,48.01,hizbul chief claims target india govt,terrorist group hizbul mujahideen chief syed salahuddin claimed media outfit attack india minister state home affairs hansraj ahir said lok sabha tuesday militant group getting logistic support including arms ammunition pakistan minister added
Instagram,58:39.3,556,176,299,97.45,vivek refers press meet accused salman,vivek oberoi recent press meet reference press conference accused salman khan threatening kill phone calls held press conference time understood tubelight said vivek reportedly dating salmans rumoured exgirlfriend aishwarya rai
Twitter,15:23.5,699,123,59,32.82,people disliked baahubali need psychiatric help rgv,filmmaker ram gopal varma sunday took twitter appreciate recently released baahubali conclusion said people disliked film need psychiatric help added producer shobu yarlagadda sponsor mental health checkups people disliked second instalment ss rajamoulis film
Twitter,32:36.9,890,45,408,144.72,india improve banks ability debtors imf,international monetary fund imf tuesday urged india strengthen ability banks debtors warned debt negatively impacts investments imf kept gdp growth forecast india unchanged said india address labour market rigidities create jobs
Instagram,51:15.6,200,36,30,7.96,painter gives flying kiss minor girl gets fine,thane court fined painter giving minor girl flying kiss stalked yearold student going school gesture order serve example deter people think wont punished behaviour police said
Instagram,08:07.2,684,110,339,113.41,rare unseen pictures late actress sridevi,photo gallery shows rare unseen pictures actress sridevi passed away age saturday night pictures shows sridevi husband boney wedding photographs daughters janhvi khushi picture shows sridevi anil kapoor sets film mr india
Instagram,59:58.4,268,65,69,10.4,romes colosseum lit red protest pakistans blasphemy law,colosseum rome lit red saturday solidarity persecuted christians particularly catholic woman named asia bibi bibi living death row pakistans blasphemy laws condemned allegedly making derogatory remarks islam husband daughter addressed gathering colosseum
Facebook,04:52.1,265,173,471,34.88,masjids madrasas teaching real islam jk bjp leader,policemen killed personnel injured attacks militants jammu kashmir bharatiya janata yuva morcha vice president aijaz hussain said masjids madrasas teaching real islam killing innocent people jihad better change maulvis masjids teachers madrasas need introspection wrote facebook post
Facebook,49:07.6,186,76,37,33.22,musk remain tesla chairman proposal removal rejected,tesla shareholders tuesday voted proposal remove elon musk companys chairman proposal asserted musk teslas ceo difficult minimise conflicts arise combined ceo chairman positions vote musk said excruciating hellish months ive
Twitter,08:07.2,850,71,78,84.38,pictures observes world refugee day,united nations tuesday observed world refugee day called international community provide support solidarity crore refugees displaced homes year violence persecution celebrating day year commemorate strength courage perseverance millions refugees
LinkedIn,34:31.8,230,116,310,42.6,luxury fashion brand burberry stop burning unsold items,londonheadquartered luxury fashion house burberry announced stop burning unsold items using real fur brand destroyed unsold products worth million year instead reuse repair recycle donate unsold products comes brand drew criticism environmental campaigners
Instagram,48:04.1,7,179,170,11.88,moving clam served diner japanese sushi eatery,customer japanese eatery ate sushi dish clam seen wriggling dish called iki hokkigai topping prepared using live seafood video incident went viral people said wriggling sign freshness claimed spinal reflex
Facebook,10:58.1,971,15,404,61.94,asks nations traveler data face sanctions,state department require nations provide extensive traveler data help determine person poses terrorist threat new visa vetting procedures introduced trump administration countries fail comply new protocols steps days face travel sanctions
Facebook,27:12.2,675,15,189,27.08,cbse announce class board exam results,central board secondary education friday announced results class board exams declared did reveal date class exam results cbse decided challenge delhi high courts order directing reverse decision scrap marks moderation policy
Instagram,46:31.9,436,119,182,18.32,aadhaar mandatory getting pension govt,government tuesday clarified aadhaar mandatory getting pension government employees government said aadhaar additional facility enable use technology submission life certificate visiting banks lakh central government employees lakh pensioners
Facebook,45:53.3,524,136,309,27.69,pressure wear new clothes daily gym jokes kareena,actress kareena kapoor talking working gym joked pressure wear new clothes day gym roz naya kahan se lau jokingly asked kareena said loves photographers added click follow
Facebook,42:11.1,864,70,294,27.52,apple lists cars wirelessly charge iphones,technology giant apple listed cars support wireless charging latest models iphone devices cars including audi bmw mercedesbenz toyota volkswagen charge iphone likely iphone x apple warned gm cars charge iphones including chevy bolt rides buick cadillac gmc
Twitter,38:18.2,263,85,436,52.3,shoaib akhtar named brand ambassador pak cricket board,pakistani fast bowler shoaib akhtar appointed pakistan cricket boards brand ambassador advisor chairman cricket affairs news revealed twitter pcb chairman najam sethi earlier accused deteriorating pakistani cricket akhtar yearold pacer represented pakistan international matches
Instagram,08:21.2,917,185,317,43.1,nadal reason better player roger federer,swiss tennis ace roger federer thanked rival rafael nadal winning laureus sportsman year award tuesday nadal unbelievable year great battle guy like think better player federer said federer nadal won grand slams year
Twitter,34:52.7,741,98,354,30.53,man held creating fake facebook profile patanjali md,uttar pradesh police saturday arrested man allegedly impersonating patanjali ayurved md acharya balkrishna facebook mohammad zishan saharanpur allegedly engaged indecent vulgar conversations balkrishnas followers police said seized accuseds smartphone sim cards used activityn
Facebook,00:04.3,807,58,283,93.64,sun pharma profit falls cr december quarter,indias largest drugmaker sun pharma wednesday posted yearonyear decline net profit crore december quarter compared crore year ago companys smallest profit half years company said decline driven overall pricing pressure generics market
LinkedIn,47:32.3,493,163,174,16.62,ashish nehra played captains team india,indian fast bowler ashish nehra represented india seven captains yearlong career nehra test debut mohammad azharuddin odi debut sourav ganguly followed ti debut ms dhoni captains nehra played include virat kohli gautam gambhir rahul dravid virender sehwag
LinkedIn,50:12.4,533,3,425,149.69,playboy model claims trump affair,playboy model karen mcdougal claimed president donald trump ninemonthlong extramarital affair model claimed trump offered cash following sexual encounter alleged affair reported wall street journal november mcdougal declined comment timennnn
LinkedIn,35:30.9,901,188,366,33.74,deepika female twitters followed indians,deepika padukone female feature twitters list followed indians ranked seventh million followers prime minister narendra modi topped list million followers seven people list bollywood celebrities including actors like shah rukh khan aamir khan
Twitter,28:02.6,779,194,287,63.22,indian pilot flying indonesian plane confirmed dead,indian embassy jakarta confirmed death indian pilot bhavye suneja indonesia plane crash lion air aircraft carrying people crashed sea travelling jakarta pangkal pinang monday yearold resident delhi joined lowcost airline
LinkedIn,51:33.8,781,141,256,27.94,juventus draw atletico liverpool face bayern ucl rd,cristiano ronaldo face club real madrids city rivals atletico madrid uefa champions league reigning german league champions bayern munich drawn liverpool round reigning english premier league champions manchester city drawn alongside germanys schalke city rivals manchester united face paris st germain
LinkedIn,36:56.5,226,86,98,71.68,zarina wahab barkha bisht sengupta join pm modi biopic cast,actresses zarina wahab barkha bisht sengupta joined cast upcoming biopic pm narendra modi starring vivek oberoi actors manoj joshi prashant narayanan roped biopic films makers announced film directed omung kumar feature boman irani darshan kumaar
Twitter,45:49.1,130,65,204,10.6,check facts winking amit shah rahul gandhi,bjp president amit shah asked congress chief rahul gandhi check facts free winking disrupting parliament accused pm narendra modi having antidalit mindset shah said nda government brought strongest amendments scst act congress way treating dalits patronising condescending insulted dalit aspirations years
Instagram,34:27.5,772,191,481,242.28,dumped kung fu panda malicious articles wilson,actress rebel wilson said dropped kung fu panda malicious magazine articles published actress play role jack blacks panda love said fired films team thought divisive family movie
LinkedIn,57:21.4,507,169,174,49.88,triple talaq antiwomen muslim personal law body,triple talaq criminalises practice instant triple talaq antiwomen india muslim personal law board secretary zafaryab jilani said passed lok sabha shariat laws constitution added board admires oppositions stand stall rajya sabha said
Twitter,20:02.9,229,46,263,33.11,stopped using pic scarlett fake porn clip,talking fake pornographic video racked million views actress scarlett johansson said stop cutting pasting image elses different body doesnt affect people assume actually porno demeaning said fighting deepfake porn fruitless added
Twitter,44:44.1,25,129,404,45.96,s playback singers called ghost voices lata,singer lata mangeshkar revealed early s playback singers called ghost voices totally invisible public added neven wasnt printed character heroine played printed record lata said thought nvoice bigger film
LinkedIn,19:29.7,928,156,74,90.54,northern ireland footballer filmed masturbating road friend,northern ireland footballer gavin whyte caught camera masturbating street alongside friend drunken night whytes club oxford united branded conduct unacceptable insisted moment madness totally character police investigating matter whyte expected penalised club
Instagram,09:35.3,987,2,35,30.77,girl dies returning beti bachao beti padhao event,class girl died uttar pradeshs hardoi returning beti bachao beti padhao function accusing district authorities making proper arrangements event girls father said drinking water wasnt available daughter came home suffering high fever family took hospital died treatment
LinkedIn,05:47.8,385,16,320,23.06,rohit smashes rd odi matches st overall,team india opener rohit sharma scored ball fourth odi windies monday register century odi matches overall yearold righthanded batsmans st odi cricket rohit hit centuries odi cricket opener
LinkedIn,36:12.3,739,17,349,23.54,nasa live stream spacecraft crashing saturn,nasa broadcasting live footage final stages cassini spacecrafts dive saturns atmosphere dubbed grand finale event marks end year billion mission firstever spacecraft went saturns planetring gap cassini helped study planet rings ice dust discovered water moons titan enceladus
LinkedIn,35:22.0,833,153,232,43.31,mcdonalds worker arrested selling cocaine meals,manager mcdonalds outlet new york arrested earlier week caught serving customers cocaine happy meals frank guerrero caught redhanded authorities threemonth long undercover investigation termed operation menu guerrero allegedly stuffed drugs inside bathrooms soap dispenser clients arrived purchase
Instagram,02:06.7,900,14,130,81.12,darjeeling tea estates lose crop worth cr strike,gorkhaland disruption darjeeling tea estates lost crop year combined value estimated crore day strike withdrawn week gorkha janmukti morcha gjm estimates suggest darjeeling tea estates suffer loss crop
Twitter,18:08.8,797,17,430,25.21,jet airways seeks stay loans ease cash crunch reports,jet airways reportedly approached banks moratorium loans asked fresh funds ease cash crunch airline reportedly grounded dozen planes review aimed reducing unprofitable routes jet airways friday said disburse september salary pilots engineers october
LinkedIn,12:07.9,13,12,386,12.83,renaultnissanmitsubishi launch billion vc fund,frenchjapanese group automakers renault nissan mitsubishi announced launching billion venture capital vc fund called alliance ventures fund invest startups focussing electrification autonomy connectivity ai set largest corporate vc fund auto industry period companies said statement
Facebook,48:06.1,966,5,215,34.97,indians account total hb visa applications,indians largest group hb visa applicants months current financial year lakh applications till june accounted total applications collected china came second applications highest past financial years list canada applications
Facebook,24:51.5,678,139,282,51.99,previous govts dismissed noconfidence motion,bjp leader atal bihari vajpayee lost noconfidence motion single vote vp singh served pm months losing noconfidence motion bjp withdrew support ram temple issue pm hd deve gowda lost noconfidence motion power months
Facebook,14:32.9,471,9,498,32.33,manika batra indian woman win cwg tt singles gold,manika batra firstever indian woman bag gold womens table tennis singles event commonwealth games history yearold paddler delhi defeated singapores mengyu yu final saturday bag medal cwg manika earlier won womens team gold womens doubles silver games
Instagram,09:40.9,855,191,403,31.45,bbm message read evidence delhi hc asks centre,delhi high court wednesday asked centre messages sent blackberry messenger read evidence supreme court declared right privacy fundamental right court asked hearing plea filed businessman moin qureshi arrested basis bbm messages money laundering case
Twitter,38:03.9,303,74,347,20.34,instagram stops notifying people users screenshot stories,photosharing app instagram confirmed longer testing feature allowed users user took screenshot story february instagram said testing feature users receive warning tried screenshot time
LinkedIn,45:17.8,686,29,33,30.16,indian premier league begin april mumbai,th edition indian premier league ipl held april ipl governing council revealed opening match final hosted mumbai matches start pm pm instead pm pm request broadcasters
Instagram,01:09.4,692,10,436,27.6,suicide bomber kills nigeria mosque attack,people killed nigeria wednesday suicide bomber blew completely destroying mosque borno state responsibility attack took place state centre insurgency led islamist militant group boko haram claimed
Twitter,45:43.6,777,196,145,156.8,kerala man forgets python train snake travels km,yearold man kerala accidentally left bag live python train kottayam snake rescued officials train travelled km police suspect man repeat offender illegally catches snakes eating python later released forest kottayam
Twitter,24:20.1,63,54,247,9.55,pakistan called tour bangladesh country rejected invitation play tis pakistan year pakistan cricket board chairman shaharyar khan said team tour bangladesh straight time failed reciprocate pakistan travelled bangladesh bangladesh toured pakistan,pakistan called scheduled cricket tour bangladesh year countrys board chairman shaharyar khan said bangladesh toured pakistan pakistan travelled bangladesh scheduled play tests odis international july august south asian countrykhan said bangladesh failed reciprocate pakistans visits bangladesh cricket board turning invitation play t internationals pakistanwe spoken possibility hosting year pcb chairman told espncricinfopakistan toured bangladesh twice reciprocating feel tour bangladesh straight time
Facebook,58:08.2,451,162,465,57.34,arent threatening deepika getting jailed asks ekta,producer ekta kapoor slammed karni senas threat cut deepika padukones nose row padmavati asked arent getting hooligans jailed open threats attacks tweet wrote incident people threw bottles event jaipur tv series jodha akbar
Facebook,35:41.8,161,67,206,20.64,man pulls worlds skydive drone,skydiver ingus augstkalns successfully pulled worlds skydive jumping drone thousand feet midair rotor drone created latvian company aerones picked skydiver tower climbing meters drone costs lakh build capable lifting kilograms weight
Instagram,19:55.6,487,199,104,16.31,happens interpol issues red corner notice,interpols red corner notice issued request member country request locate provisionally arrest individual pending extradition international arrest warrant member country decides legal value notice borders interpol compel member country arrest individual
Instagram,18:19.2,1,180,202,28.56,costliest chinese film pulled theatres flops,asura considered chinas expensive film pulled theatres performing poorly boxoffice opening weekend film estimated budget million yuan million earned million weekend films coproducer stated decision solely based poor boxoffice collection
Instagram,45:20.2,364,58,96,12.48,used crash weddings friends eat good food kapil,comedianactor kapil sharma talking college days revealed used weddings friends eat good food got caught redhanded uncle friend story saying food college mess got didnt eat added kapil
Twitter,13:05.3,743,51,405,42.41,unlike live work piyush goyal rahul,railway minister piyush goyal tweeted unlike mr rahul gandhi learnt art living working comes gandhi accused goyal misusing position serving mos power selling shares firm times face value piramal group linked power sector
Instagram,53:29.4,512,1,340,30.6,musk proposes km route covered min,elon muskled boring company revealed plans build route travel km cities washington dc baltimore minutes startups transportation loop speed kmph capacity passengers vehicle earlier musk claimed prioritise pedestrians cyclists cars
Instagram,27:26.9,803,133,164,105.16,shahid kapoor star film batti gul meter chalu,shahid kapoor starring upcoming film titled batti gul meter chalu directed toilet ek prem katha director shree narayan singh film deals issue electricity bills tweeting shahid wrote lets celebrate festival light wish soon electricity right privilege
LinkedIn,06:55.4,461,149,121,17.52,gay football fans attacked gets brain injuries russia,gay football fans visiting russia fifa world cup assaulted left brain injuries saint petersburg according reports fans attacked seen catching taxi earlier russian government issued directive asking visiting fans hide sexuality public russia
LinkedIn,45:52.2,14,66,16,3.37,shouldve entered film industry early s s rishi,actor rishi kapoor said shouldve entered film industry early s early s explained romantic films didnt perform boxoffice joined films chandni game changer time pack arrived situations changed bollywood film industry added rishi
Instagram,48:58.9,940,36,430,31.08,srk wanted quit kal ho naa ho wanted salman role,filmmaker nikkhil advani revealed shooting scenes kal ho naa ho shah rukh khan said wouldnt able film suggested salman khan replace karan johar immediately rejected idea postponed film months till srk come resume shooting added advani
Facebook,03:18.9,55,151,123,7.38,auction house sothebys india md goes leave metoo claims,auction house sothebys india managing director gaurav bhatia taken leave absence pending inquiry following series sexual harassment allegations allegations include touching alleged victims inappropriately forcibly trying kiss physically assaulting man hotel room bhatia working sothebys october
Twitter,08:10.6,735,177,387,117.56,bumrahs foot noball cancels paks fakhars dismissal,indian pacer jasprit bumrah dismissed pakistani opener fakhar zaman decision cancelled replays showed yearold pacer overstepped fakhar poked delivery outside stump edged ms dhoni alongside indian fielders begun celebrating pakistans dismissal
Instagram,12:40.4,879,75,302,44.46,yahoo reveals billion users accounts hacked,yahoo revealed billion users accounts hacked data theft tripling earlier estimate billion stolen data didnt include passwords clear text payment card data bank account information notably verizon cut yahoo acquisition offer billion billion breaches
Twitter,13:32.9,688,186,269,175.04,took guidance sikhs kashyap abhisheks smoking scene row,addressing controversy abhishek bachchans sikh character shown smoking removing turban manmarziyaan director anurag kashyap said step asked guidance sikh people added asked doing scene told turban smokes said people watching shoot sikhs
Instagram,02:44.1,708,80,428,201.66,barcelonas social media hacked post signing di maria,official twitter facebook accounts fc barcelona hacked wednesday hackers posting fake news club acquiring real madrid current psg player ngel di mara hacks responsibility claimed ourmine group previously hacked twitter accounts sundar pichai mark zuckerberg recently game thrones hbo
Twitter,09:22.4,787,85,80,23.02,amazon overtakes alphabet worlds nd valuable firm,market capitalisation billion jeff bezosled amazon tuesday overtook alphabet time worlds second valuable company comes stock ecommerce giant rose googleparent alphabet fell bringing value billion notably amazons stock surged months
LinkedIn,18:34.8,921,191,312,71.09,muslim women protest triple talaq pune,thousand muslim women held rally maharashtras pune saturday protest instant triple talaq seeks criminalise practice year jail term demanding muslim personal law changed protestors said law allah right triple talaq misconception
LinkedIn,25:21.0,506,137,199,37.67,expm lal bahadur shastri used consult rss chief advani,veteran bjp leader lk advani said prime minister lal bahadur shastri consulted rss chief guru golwalkar national issues stating shastri dedicated congressman advani said pm did ideological hostility rss year rss chief mohan bhagwat described shastri lok neta mass leader
Facebook,28:17.0,628,11,498,34.61,lalu refers dept bjps new alliance partners,department conducted raids locations connection benami land deals involving lalu prasad yadav rjd chief tweeted congratulations bjp new alliance partners series tweets vowed fight allegations till breath asserted partys alliance nitish kumars jdu congress unbreakable
Instagram,42:12.1,276,17,87,23.76,iceland smallest nation enter fifa world cup,iceland smallest country qualify final stage fifa world cup topping qualifying group island nation population registered football players year iceland played major tournament uefa european championship team defeated england reached quarterfinal stage
LinkedIn,16:43.0,610,148,474,168.31,kohli smashes th straight odi ton india equals abds record,india captain virat kohli saturday smashed ball century windies pune equal exsouth africa captain ab villiers record hitting consecutive odi hundreds indian soil hundreds yearold stands jointfourth jacques kallis list centuries international cricket kohli scored hundreds
Facebook,21:12.1,126,95,4,21.78,abandoned pak boats seized sir creek janfeb govt,bsf seized abandoned pakistani boats sir creek area gujarat january february year government said wednesday minister state home affairs kiren rijiju added boats seized year want assure house coastline presently safe minister said
Facebook,42:49.7,362,49,494,26.97,bjp allies deserting sinking ship telling sign tharoor,attacking bjp senior congress leader shashi tharoor said allies bjp beginning desert sinking ship telling sign alliance added attacked pm narendra modi saying evidently growing frustration members nda authoritarian oneman
